ko	KOname
K07407	E3.2.1.22B, galA, rafA; alpha-galactosidase
K00011	AKR1B; aldehyde reductase
K02773	gatA, sgcA; galactitol PTS system EIIA component
K02774	gatB, sgcB; galactitol PTS system EIIB component
K02775	gatC, sgcC; galactitol PTS system EIIC component
K00094	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase
K21620	sorbD; galactitol 2-dehydrogenase
K21621	fk; tagatose kinase
K21622	tag6PK; D-tagatose 6-phosphate 4-epimerase
K00917	lacC; tagatose 6-phosphate kinase
K00850	pfkA, PFK; 6-phosphofructokinase 1
K16370	pfkB; 6-phosphofructokinase 2
K21071	pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase
K01635	lacD; tagatose 1,6-diphosphate aldolase
K08302	gatY-kbaY; tagatose 1,6-diphosphate aldolase GatY/KbaY
K16371	gatZ-kbaZ; D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ
K00035	gal; D-galactose 1-dehydrogenase
K22215	galD; galactose dehydrogenase
K18124	gdh2, gdhA; glucose/galactose 1-dehydrogenase (NADP+)
K18125	ssgdh; aldose 1-dehydrogenase
K04618	GAOA; galactose oxidase
K01684	dgoD; galactonate dehydratase
K05308	gnaD; gluconate/galactonate dehydratase
K11395	kdpgA; 2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase
K18127	kdgA; 2-dehydro-3-deoxy-D-gluconate aldolase
K00883	dgoK; 2-dehydro-3-deoxygalactonokinase
K18126	sskdgK; 2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase
K01631	dgoA; 2-dehydro-3-deoxyphosphogalactonate aldolase
K01819	E5.3.1.26, lacA, lacB; galactose-6-phosphate isomerase
K01220	E3.2.1.85, lacG; 6-phospho-beta-galactosidase
K02786	lacF; lactose PTS system EIIA component
K02788	lacE; lactose PTS system EIICB component
K01193	INV, sacA; beta-fructofuranosidase
K06611	E2.4.1.67; stachyose synthetase
K12047	MGAM; maltase-glucoamylase
K01187	malZ; alpha-glucosidase
K12316	GAA; lysosomal alpha-glucosidase
K12317	GANC; neutral alpha-glucosidase C
K01182	IMA, malL; oligo-1,6-glucosidase
K01203	SI; sucrase-isomaltase
K02744	agaF; N-acetylgalactosamine PTS system EIIA component
K02745	agaV; N-acetylgalactosamine PTS system EIIB component
K02746	agaW; N-acetylgalactosamine PTS system EIIC component
K02747	agaE; N-acetylgalactosamine PTS system EIID component
K02079	agaA; N-acetylgalactosamine-6-phosphate deacetylase
K02080	agaI; galactosamine-6-phosphate isomerase
K10984	agaB; galactosamine PTS system EIIB component
K10985	agaC; galactosamine PTS system EIIC component
K10986	agaD; galactosamine PTS system EIID component
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase
K12447	USP; UDP-sugar pyrophosphorylase
K16190	GLCAK; glucuronokinase
K00699	UGT; glucuronosyltransferase
K01195	uidA, GUSB; beta-glucuronidase
K14756	KL; klotho
K00469	MIOX; inositol oxygenase
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+)
K01053	gnl, RGN; gluconolactonase
K00103	GULO; L-gulonolactone oxidase
K10046	GME; GDP-D-mannose 3', 5'-epimerase
K14190	VTC2_5; GDP-L-galactose phosphorylase
K10047	VTC4; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase
K18649	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase
K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase
K17744	GalDH; L-galactose dehydrogenase
K00225	GLDH; L-galactono-1,4-lactone dehydrogenase
K08679	GAE, cap1J; UDP-glucuronate 4-epimerase
K19642	GALUR; D-galacturonate reductase
K23003	lgaA; L-galactose dehydrogenase
K23004	lgaB; L-galactono-1,5-lactonase
K23005	lgaC; L-galactonate 5-dehydrogenase
K23007	lgoD; L-galactonate 5-dehydrogenase
K02821	ulaC, sgaA; ascorbate PTS system EIIA or EIIAB component
K02822	ulaB, sgaB; ascorbate PTS system EIIB component
K03475	ulaA, sgaT; ascorbate PTS system EIIC component
K03476	ulaG; L-ascorbate 6-phosphate lactonase
K03078	ulaD, sgaH, sgbH; 3-dehydro-L-gulonate-6-phosphate decarboxylase
K03079	ulaE, sgaU, sgbU; L-ribulose-5-phosphate 3-epimerase
K03077	araD, ulaF, sgaE, sgbE; L-ribulose-5-phosphate 4-epimerase
K08232	E1.6.5.4; monodehydroascorbate reductase (NADH)
K00434	E1.11.1.11; L-ascorbate peroxidase
K21888	DHAR; glutathione dehydrogenase/transferase
K00423	E1.10.3.3; L-ascorbate oxidase
K08092	dlgD; 3-dehydro-L-gulonate 2-dehydrogenase
K00880	lyxK; L-xylulokinase
K00128	ALDH; aldehyde dehydrogenase (NAD+)
K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1
K00149	ALDH9A1; aldehyde dehydrogenase family 9 member A1
K01706	gudD; glucarate dehydratase
K01630	garL; 2-dehydro-3-deoxyglucarate aldolase
K00062	ARA2; D-arabinose 1-dehydrogenase
K00063	ARA1; D-arabinose 1-dehydrogenase
K00107	ALO; D-arabinono-1,4-lactone oxidase
K19590	araDH; D-arabinose 1-dehydrogenase
K01683	araD; D-arabinonate dehydratase
K14259	kdaD, xacE, kdxD; 2-dehydro-3-deoxy-D-arabinonate dehydratase
K13873	araA; L-arabinose 1-dehydrogenase
K19660	araDH; L-arabinose 1-dehydrogenase
K13874	araB; L-arabinonolactonase
K24443	xacC; D-xylono/L-arabinono-1,4-lactonase
K13875	K13875, araC; L-arabonate dehydrase
K13876	araD; 2-keto-3-deoxy-L-arabinonate dehydratase
K13877	aldH; 2,5-dioxopentanoate dehydrogenase
K19588	dopDH; 2,5-dioxopentanoate dehydrogenase
K01707	kdgD; 5-dehydro-4-deoxyglucarate dehydratase
K01708	garD; galactarate dehydratase
K20023	talrD-galrD; L-talarate/galactarate dehydratase
K18981	udh; uronate dehydrogenase
K18982	gli; D-galactarolactone isomerase
K18983	gci; D-galactarolactone cycloisomerase
K02810	scrA, sacP, sacX, ptsS; sucrose PTS system EIIBCA or EIIBC component
K01193	INV, sacA; beta-fructofuranosidase
K00696	E2.4.1.14; sucrose-phosphate synthase
K07024	SPP; sucrose-6-phosphatase
K00695	SUS; sucrose synthase
K12047	MGAM; maltase-glucoamylase
K01187	malZ; alpha-glucosidase
K12316	GAA; lysosomal alpha-glucosidase
K12317	GANC; neutral alpha-glucosidase C
K01203	SI; sucrase-isomaltase
K20811	inuJ; inulosucrase
K00692	sacB; levansucrase
K18775	lf2; levanbiose-producing levanase
K01212	sacC, levB; levanase
K05341	E2.4.1.4; amylosucrase
K00689	E2.4.1.5; dextransucrase
K00690	E2.4.1.7; sucrose phosphorylase
K00963	UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase
K01513	ENPP1_3, CD203; ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3
K00706	E2.4.1.34; 1,3-beta-glucan synthase
K01199	EGLC; glucan endo-1,3-beta-D-glucosidase
K19891	GN1_2_3; glucan endo-1,3-beta-glucosidase 1/2/3
K19892	GN4; glucan endo-1,3-beta-glucosidase 4
K19893	GN5_6; glucan endo-1,3-beta-glucosidase 5/6
K01210	E3.2.1.58; glucan 1,3-beta-glucosidase
K01188	E3.2.1.21; beta-glucosidase
K05349	bglX; beta-glucosidase
K05350	bglB; beta-glucosidase
K00694	bcsA; cellulose synthase (UDP-forming)
K01179	E3.2.1.4; endoglucanase
K19357	CELB; cellulase
K01225	CBH1; cellulose 1,4-beta-cellobiosidase
K19668	CBH2, cbhA; cellulose 1,4-beta-cellobiosidase
K00702	E2.4.1.20; cellobiose phosphorylase
K02759	celC, chbA; cellobiose PTS system EIIA component
K02760	celA, chbB; cellobiose PTS system EIIB component
K02761	celB, chbC; cellobiose PTS system EIIC component
K01222	E3.2.1.86A, celF; 6-phospho-beta-glucosidase
K01223	E3.2.1.86B, bglA; 6-phospho-beta-glucosidase
K00978	rfbF; glucose-1-phosphate cytidylyltransferase
K00975	glgC; glucose-1-phosphate adenylyltransferase
K18447	NUDX14; ADP-sugar diphosphatase
K00703	glgA; starch synthase
K13679	WAXY; granule-bound starch synthase
K20812	glgA; glycogen synthase
K00693	GYS; glycogen synthase
K00750	GYG1, GYG2; glycogenin
K16150	K16150; glycogen synthase
K16153	K16153; glycogen phosphorylase/synthase
K00700	GBE1, glgB; 1,4-alpha-glucan branching enzyme
K16149	K16149; 1,4-alpha-glucan branching enzyme
K00688	PYG, glgP; glycogen phosphorylase
K01196	AGL; glycogen debranching enzyme
K02438	glgX; glycogen debranching enzyme
K01200	pulA; pullulanase
K01176	AMY, amyA, malS; alpha-amylase
K07405	E3.2.1.1A; alpha-amylase
K05343	treS; maltose alpha-D-glucosyltransferase / alpha-amylase
K01177	E3.2.1.2; beta-amylase
K05992	amyM; maltogenic alpha-amylase
K01208	cd, ma, nplT; cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase
K01178	SGA1; glucoamylase
K21574	susB; glucan 1,4-alpha-glucosidase
K01182	IMA, malL; oligo-1,6-glucosidase
K05988	dexA; dextranase
K00705	malQ; 4-alpha-glucanotransferase
K22451	jgt; 4-alpha-glucanotransferase
K16146	pep2; maltokinase
K16147	glgE; starch synthase (maltosyl-transferring)
K16148	glgM; alpha-maltose-1-phosphate synthase
K00691	mapA; maltose phosphorylase
K01838	pgmB; beta-phosphoglucomutase
K02777	crr; sugar PTS system EIIA component
K02791	malX; maltose/glucose PTS system EIICB component
K20108	malT; maltose PTS system EIICB or EIICBA component
K02750	glvC, malP, aglA; alpha-glucoside PTS system EIICB component
K06896	mapP; maltose 6'-phosphate phosphatase
K01232	glvA; maltose-6'-phosphate glucosidase
K00701	cgt; cyclomaltodextrin glucanotransferase
K01214	ISA, treX; isoamylase
K06044	treY, glgY; (1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase
K01236	treZ, glgZ; maltooligosyltrehalose trehalohydrolase
K13057	treT; trehalose synthase
K00697	otsA; trehalose 6-phosphate synthase
K01087	otsB; trehalose 6-phosphate phosphatase
K16055	TPS; trehalose 6-phosphate synthase/phosphatase
K22337	TSL1, TPS3; trehalose 6-phosphate synthase complex regulatory subunit
K01194	TREH, treA, treF; alpha,alpha-trehalase
K22934	E3.2.1.28; alpha,alpha-trehalase
K05342	treP; alpha,alpha-trehalose phosphorylase
K02819	treB, treP; trehalose PTS system EIIBC or EIIBCA component
K01226	treC; trehalose-6-phosphate hydrolase
K01835	pgm; phosphoglucomutase
K15778	pmm-pgm; phosphomannomutase / phosphoglucomutase
K15779	PGM2; phosphoglucomutase / phosphopentomutase
K00844	HK; hexokinase
K12407	GCK; glucokinase
K00845	glk; glucokinase
K25026	glk; glucokinase
K01084	G6PC; glucose-6-phosphatase
K11809	PGM2L1; glucose-1,6-bisphosphate synthase
K01810	GPI, pgi; glucose-6-phosphate isomerase
K06859	pgi1; glucose-6-phosphate isomerase, archaeal
K13810	tal-pgi; transaldolase / glucose-6-phosphate isomerase
K15916	pgi-pmi; glucose/mannose-6-phosphate isomerase
K00847	E2.7.1.4, scrK; fructokinase
K01183	E3.2.1.14; chitinase
K20547	CHIB; basic endochitinase B
K13381	chiA; bifunctional chitinase/lysozyme
K01207	nagZ; beta-N-acetylhexosaminidase
K12373	HEXA_B; hexosaminidase
K01452	E3.5.1.41; chitin deacetylase
K01233	csn; chitosanase
K15855	csxA; exo-1,4-beta-D-glucosaminidase
K18675	chbP; N,N'-diacetylchitobiose phosphorylase
K02777	crr; sugar PTS system EIIA component
K11192	murP; N-acetylmuramic acid PTS system EIICB component
K22292	mupP; N-acetyl-D-muramate 6-phosphate phosphatase
K07102	amgK; N-acetylmuramate 1-kinase
K00992	murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase
K07106	murQ; N-acetylmuramic acid 6-phosphate etherase
K02804	nagE; N-acetylglucosamine PTS system EIICBA or EIICB component
K00884	NAGK, nagK; N-acetylglucosamine kinase
K01836	PGM3; phosphoacetylglucosamine mutase
K00972	UAP1; UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase
K04042	glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase
K11528	glmU; UDP-N-acetylglucosamine pyrophosphorylase
K12409	GNE; bifunctional UDP-N-acetylglucosamine 2-epimerase / N-acetylmannosamine kinase
K08068	siaA, neuC1; UDP-N-acetylglucosamine 2-epimerase (hydrolysing)
K00885	nanK; N-acylmannosamine kinase
K13967	nanEK; N-acetylmannosamine-6-phosphate 2-epimerase / N-acetylmannosamine kinase
K01787	RENBP; N-acylglucosamine 2-epimerase
K01788	nanE; N-acylglucosamine-6-phosphate 2-epimerase
K05304	NANS, SAS; sialic acid synthase
K01097	NANP; N-acylneuraminate-9-phosphatase
K01654	neuB, nnaB; N-acetylneuraminate synthase
K01639	E4.1.3.3, nanA, NPL; N-acetylneuraminate lyase
K21749	CMAS; N-acylneuraminate/3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase
K00983	neuA, nnaC; N-acylneuraminate cytidylyltransferase
K08080	CMAH; CMP-N-acetylneuraminate monooxygenase
K00326	E1.6.2.2; cytochrome-b5 reductase
K00698	CHS1; chitin synthase
K01791	wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing)
K02472	wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase
K13015	wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase
K22926	tviB, vipA; UDP-N-acetylglucosamine 6-dehydrogenase
K13016	wbpB; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
K13020	wlbA, bplA; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
K13017	wbpE, wlbC; UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase
K13018	wbpD, wlbB; UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase
K13019	wbpI, wlbD; UDP-GlcNAc3NAcA epimerase
K02473	wbpP; UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase
K02474	wbpO; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase
K22925	tviC, vipB; UDP-N-acetylglucosaminuronic acid 4-epimerase
K00790	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase
K00075	murB; UDP-N-acetylmuramate dehydrogenase
K15894	pseB, wbjB; UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase
K15895	pseC; UDP-4-amino-4,6-dideoxy-L-N-acetyl-beta-L-altrosamine transaminase
K15896	pseH; UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase
K15897	pseG; UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase
K15898	pseI, neuB3; pseudaminic acid synthase
K15899	pseF; pseudaminic acid cytidylyltransferase
K15912	pglF; UDP-N-acetylglucosamine 4,6-dehydratase
K15910	pglE; UDP-N-acetylbacillosamine transaminase
K15913	pglD; UDP-N-acetylbacillosamine N-acetyltransferase
K18429	legG, neuC2; GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolysing)
K18430	legI, neuB2; N,N'-diacetyllegionaminate synthase
K18431	legF, ptmB; CMP-N,N'-diacetyllegionaminic acid synthase
K02765	gamP; D-glucosamine PTS system EIICBA component
K00844	HK; hexokinase
K18676	gspK; glucosamine kinase
K03431	glmM; phosphoglucosamine mutase
K01443	nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase
K00621	GNPNAT1, GNA1; glucosamine-phosphate N-acetyltransferase
K00847	E2.7.1.4, scrK; fructokinase
K02564	nagB, GNPDA; glucosamine-6-phosphate deaminase
K00820	glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing)
K12446	E2.7.1.46; L-arabinokinase
K12447	USP; UDP-sugar pyrophosphorylase
K13379	RGP, UTM; reversibly glycosylated polypeptide / UDP-arabinopyranose mutase
K01209	abfA; alpha-L-arabinofuranosidase
K15921	xynD; arabinoxylan arabinofuranohydrolase
K20844	abf1; non-reducing end alpha-L-arabinofuranosidase
K00770	E2.4.2.24; 1,4-beta-D-xylan synthase
K15920	XYL4; xylan 1,4-beta-xylosidase
K01198	xynB; xylan 1,4-beta-xylosidase
K22268	xylA; xylan 1,4-beta-xylosidase
K12448	UXE, uxe; UDP-arabinose 4-epimerase
K16190	GLCAK; glucuronokinase
K10011	arnA, pmrI; UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating)
K07806	arnB, pmrH; UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase
K10012	arnC, pmrF; undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
K13014	arnD; undecaprenyl phosphate-alpha-L-ara4FN deformylase
K08678	UXS1, uxs; UDP-glucuronate decarboxylase
K12449	AXS; UDP-apiose/xylose synthase
K02779	ptsG; glucose PTS system EIICB or EIICBA component
K02791	malX; maltose/glucose PTS system EIICB component
K20118	ptsG, glcA, glcB; glucose PTS system EIICBA or EIICB component
K00845	glk; glucokinase
K25026	glk; glucokinase
K12407	GCK; glucokinase
K00886	ppgK; polyphosphate glucokinase
K01810	GPI, pgi; glucose-6-phosphate isomerase
K06859	pgi1; glucose-6-phosphate isomerase, archaeal
K13810	tal-pgi; transaldolase / glucose-6-phosphate isomerase
K15916	pgi-pmi; glucose/mannose-6-phosphate isomerase
K01835	pgm; phosphoglucomutase
K15778	pmm-pgm; phosphomannomutase / phosphoglucomutase
K15779	PGM2; phosphoglucomutase / phosphopentomutase
K00963	UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase
K12450	RHM; UDP-glucose 4,6-dehydratase
K12451	UER1; 3,5-epimerase/4-reductase
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase
K06118	SQD1, sqdB; UDP-sulfoquinovose synthase
K00849	galK; galactokinase
K00965	galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase
K01784	galE, GALE; UDP-glucose 4-epimerase
K01854	glf; UDP-galactopyranose mutase
K17716	capD; UDP-glucose 4-epimerase
K08679	GAE, cap1J; UDP-glucuronate 4-epimerase
K18677	GALAK; galacturonokinase
K13648	GAUT; alpha-1,4-galacturonosyltransferase
K02793	manXa; mannose PTS system EIIA component
K02794	manX; mannose PTS system EIIAB component
K02795	manY; mannose PTS system EIIC component
K02796	manZ; mannose PTS system EIID component
K17497	PMM; phosphomannomutase
K01840	manB; phosphomannomutase
K16881	K16881; mannose-1-phosphate guanylyltransferase / phosphomannomutase
K00966	GMPP; mannose-1-phosphate guanylyltransferase
K00971	manC, cpsB; mannose-1-phosphate guanylyltransferase
K16011	algA, xanB, rfbA, wbpW, pslB; mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase
K01711	gmd, GMDS; GDPmannose 4,6-dehydratase
K15856	rmd; GDP-4-dehydro-6-deoxy-D-mannose reductase
K22252	tld; GDP-6-deoxy-D-talose 4-dehydrogenase
K13010	per, rfbE; perosamine synthetase
K17939	perB, wbdR; GDP-perosamine N-acetyltransferase
K01809	manA, MPI; mannose-6-phosphate isomerase
K10046	GME; GDP-D-mannose 3', 5'-epimerase
K00066	algD; GDP-mannose 6-dehydrogenase
K05305	FUK; fucokinase
K00976	FPGT; fucose-1-phosphate guanylyltransferase
K02377	TSTA3, fcl; GDP-L-fucose synthase
K00978	rfbF; glucose-1-phosphate cytidylyltransferase
K01709	rfbG; CDP-glucose 4,6-dehydratase
K12452	ascC, ddhC, rfbH; CDP-4-dehydro-6-deoxyglucose reductase, E1
K00523	ascD, ddhD, rfbI; CDP-4-dehydro-6-deoxyglucose reductase, E3
K12453	rfbS; CDP-paratose synthetase
K12454	rfbE; CDP-paratose 2-epimerase
K12455	rfbJ; CDP-abequose synthase
K19632	rfbJ; CDP-abequose synthase
K15857	ascE; CDP-3, 6-dideoxy-D-glycero-D-glycero-4-hexulose-5-epimerase
K15858	ascF; CDP-3, 6-dideoxy-D-glycero-L-glycero-4-hexulose-4-reductase
K00975	glgC; glucose-1-phosphate adenylyltransferase
K01895	ACSS1_2, acs; acetyl-CoA synthetase
K01913	AAE7, ACN1; acetate/butyrate---CoA ligase
K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit
K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit
K00172	porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit
K00189	vorG, porG; 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit
K03737	por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase
K00174	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha
K00175	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta
K00163	aceE; pyruvate dehydrogenase E1 component
K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit
K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase
K13997	PDHX; dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex
K00656	E2.3.1.54, pflD; formate C-acetyltransferase
K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)
K04072	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase
K04073	mhpF; acetaldehyde dehydrogenase
K18366	bphJ, xylQ, nahO, tesF; acetaldehyde/propanal dehydrogenase
K04021	eutE; aldehyde dehydrogenase
K13951	ADH1_7; alcohol dehydrogenase 1/7
K13980	ADH4; alcohol dehydrogenase 4
K13952	ADH6; alcohol dehydrogenase 6
K13953	adhP; alcohol dehydrogenase, propanol-preferring
K13954	yiaY; alcohol dehydrogenase
