KOGID	kogidname
KOG0508	Ankyrin repeat protein
KOG0509	Ankyrin repeat and DHHC-type Zn-finger domain containing proteins
KOG0510	Ankyrin repeat protein
KOG0511	Ankyrin repeat protein
KOG0512	Fetal globin-inducing factor (contains ankyrin repeats)
KOG0513	Ca2+-independent phospholipase A2
KOG0514	Ankyrin repeat protein
KOG0515	p53-interacting protein 53BP/ASPP, contains ankyrin and SH3 domains
KOG0516	Dystonin, GAS (Growth-arrest-specific protein), and related proteins
KOG0517	Beta-spectrin
KOG0518	Actin-binding cytoskeleton protein, filamin
KOG0519	Sensory transduction histidine kinase
KOG0520	Uncharacterized conserved protein, contains IPT/TIG domain
KOG0521	Putative GTPase activating proteins (GAPs)
KOG0522	Ankyrin repeat protein
KOG0523	Transketolase
KOG0524	Pyruvate dehydrogenase E1, beta subunit
KOG0525	Branched chain alpha-keto acid dehydrogenase E1, beta subunit
KOG0526	Nucleosome-binding factor SPN, POB3 subunit
KOG0527	HMG-box transcription factor
KOG0528	HMG-box transcription factor SOX5
KOG0529	Protein geranylgeranyltransferase type II, alpha subunit
KOG0530	Protein farnesyltransferase, alpha subunit/protein geranylgeranyltransferase type I, alpha subunit
KOG0531	Protein phosphatase 1, regulatory subunit, and related proteins
KOG0532	Leucine-rich repeat (LRR) protein, contains calponin homology domain
KOG0533	RRM motif-containing protein
KOG0534	NADH-cytochrome b-5 reductase
KOG0535	Sulfite oxidase, molybdopterin-binding component
KOG0536	Flavohemoprotein b5+b5R
KOG0537	Cytochrome b5
KOG0538	Glycolate oxidase
KOG0539	Sphingolipid fatty acid hydroxylase
KOG0540	3-Methylcrotonyl-CoA carboxylase, non-biotin containing subunit/Acetyl-CoA carboxylase carboxyl transferase, subunit beta
KOG0541	Alkyl hydroperoxide reductase/peroxiredoxin
KOG0542	Predicted exonuclease
KOG0543	FKBP-type peptidyl-prolyl cis-trans isomerase
KOG0544	FKBP-type peptidyl-prolyl cis-trans isomerase
KOG0545	Aryl-hydrocarbon receptor-interacting protein
KOG0546	HSP90 co-chaperone CPR7/Cyclophilin
KOG0547	Translocase of outer mitochondrial membrane complex, subunit TOM70/TOM72
KOG0548	Molecular co-chaperone STI1
KOG0549	FKBP-type peptidyl-prolyl cis-trans isomerase
KOG0550	Molecular chaperone (DnaJ superfamily)
KOG0551	Hsp90 co-chaperone CNS1 (contains TPR repeats)
KOG0552	FKBP-type peptidyl-prolyl cis-trans isomerase
KOG0553	TPR repeat-containing protein
KOG0554	Asparaginyl-tRNA synthetase (mitochondrial)
KOG0555	Asparaginyl-tRNA synthetase
KOG0556	Aspartyl-tRNA synthetase
KOG0557	Dihydrolipoamide acetyltransferase
KOG0558	Dihydrolipoamide transacylase (alpha-keto acid dehydrogenase E2 subunit)
KOG0559	Dihydrolipoamide succinyltransferase (2-oxoglutarate dehydrogenase, E2 subunit)
KOG0560	Sulfite reductase (ferredoxin)
KOG0561	bHLH transcription factor
KOG0562	Predicted hydrolase (HIT family)
KOG0563	Glucose-6-phosphate 1-dehydrogenase
KOG0564	5,10-methylenetetrahydrofolate reductase
KOG0565	Inositol polyphosphate 5-phosphatase and related proteins
KOG0566	Inositol-1,4,5-triphosphate 5-phosphatase (synaptojanin), INP51/INP52/INP53 family
KOG0567	HEAT repeat-containing protein
KOG0568	Molecular chaperone (DnaJ superfamily)
KOG0569	Permease of the major facilitator superfamily
KOG0570	Transcriptional coactivator
KOG0571	Asparagine synthase (glutamine-hydrolyzing)
KOG0572	Glutamine phosphoribosylpyrophosphate amidotransferase
KOG0573	Asparagine synthase
KOG0574	STE20-like serine/threonine kinase MST
KOG0575	Polo-like serine/threonine protein kinase
KOG0576	Mitogen-activated protein kinase kinase kinase kinase (MAP4K), germinal center kinase family
KOG0577	Serine/threonine protein kinase
KOG0578	p21-activated serine/threonine protein kinase
KOG0579	Ste20-like serine/threonine protein kinase
KOG0580	Serine/threonine protein kinase
KOG0581	Mitogen-activated protein kinase kinase (MAP2K)
KOG0582	Ste20-like serine/threonine protein kinase
KOG0583	Serine/threonine protein kinase
KOG0584	Serine/threonine protein kinase
KOG0585	Ca2+/calmodulin-dependent protein kinase kinase beta and related serine/threonine protein kinases
KOG0586	Serine/threonine protein kinase
KOG0587	Traf2- and Nck-interacting kinase and related germinal center kinase (GCK) family protein kinases
KOG0588	Serine/threonine protein kinase
KOG0589	Serine/threonine protein kinase
KOG0590	Checkpoint kinase and related serine/threonine protein kinases
KOG0591	NIMA (never in mitosis)-related G2-specific serine/threonine protein kinase
KOG0592	3-phosphoinositide-dependent protein kinase (PDK1)
KOG0593	Predicted protein kinase KKIAMRE
KOG0594	Protein kinase PCTAIRE and related kinases
KOG0595	Serine/threonine-protein kinase involved in autophagy
KOG0596	Dual specificity; serine/threonine and tyrosine kinase
KOG0597	Serine-threonine protein kinase FUSED
KOG0598	Ribosomal protein S6 kinase and related proteins
KOG0599	Phosphorylase kinase gamma subunit
KOG0600	Cdc2-related protein kinase
KOG0601	Cyclin-dependent kinase WEE1
KOG0602	Neutral trehalase
KOG0603	Ribosomal protein S6 kinase
KOG0604	MAP kinase-activated protein kinase 2
KOG0605	NDR and related serine/threonine kinases
KOG0606	Microtubule-associated serine/threonine kinase and related proteins
KOG0607	MAP kinase-interacting kinase and related serine/threonine protein kinases
KOG0608	Warts/lats-like serine threonine kinases
KOG0609	Calcium/calmodulin-dependent serine protein kinase/membrane-associated guanylate kinase
KOG0610	Putative serine/threonine protein kinase
KOG0611	Predicted serine/threonine protein kinase
KOG0612	Rho-associated, coiled-coil containing protein kinase
KOG0613	Projectin/twitchin and related proteins
KOG0614	cGMP-dependent protein kinase
KOG0615	Serine/threonine protein kinase Chk2 and related proteins
KOG0616	cAMP-dependent protein kinase catalytic subunit (PKA)
KOG0617	Ras suppressor protein (contains leucine-rich repeats)
KOG0618	Serine/threonine phosphatase 2C containing leucine-rich repeats, similar to SCN circadian oscillatory protein (SCOP)
KOG0619	FOG: Leucine rich repeat
KOG0620	Glucose-repressible alcohol dehydrogenase transcriptional effector CCR4 and related proteins
KOG0621	Phospholipid scramblase
KOG0622	Ornithine decarboxylase
KOG0623	Glutamine amidotransferase/cyclase
KOG0624	dsRNA-activated protein kinase inhibitor P58, contains TPR and DnaJ domains
KOG0625	Phosphoglucomutase
KOG0626	Beta-glucosidase, lactase phlorizinhydrolase, and related proteins
KOG0627	Heat shock transcription factor
KOG0628	Aromatic-L-amino-acid/L-histidine decarboxylase
KOG0629	Glutamate decarboxylase and related proteins
KOG0630	Predicted pyridoxal-dependent decarboxylase
KOG0631	Galactokinase
KOG0632	Phytochelatin synthase
KOG0633	Histidinol phosphate aminotransferase
KOG0634	Aromatic amino acid aminotransferase and related proteins
KOG0635	Adenosine 5'-phosphosulfate kinase
KOG0636	ATP sulfurylase (sulfate adenylyltransferase)
KOG0637	Sucrose transporter and related proteins
KOG0638	4-hydroxyphenylpyruvate dioxygenase
KOG0639	Transducin-like enhancer of split protein (contains WD40 repeats)
KOG0640	mRNA cleavage stimulating factor complex; subunit 1
KOG0641	WD40 repeat protein
KOG0642	Cell-cycle nuclear protein, contains WD-40 repeats
KOG0643	Translation initiation factor 3, subunit i (eIF-3i)/TGF-beta receptor-interacting protein (TRIP-1)
KOG0644	Uncharacterized conserved protein, contains WD40 repeat and BROMO domains
KOG0645	WD40 repeat protein
KOG0646	WD40 repeat protein
KOG0647	mRNA export protein (contains WD40 repeats)
KOG0648	Predicted NUDIX hydrolase FGF-2 and related proteins
KOG0649	WD40 repeat protein
KOG0650	WD40 repeat nucleolar protein Bop1, involved in ribosome biogenesis
KOG0651	26S proteasome regulatory complex, ATPase RPT4
KOG0652	26S proteasome regulatory complex, ATPase RPT5
KOG0653	Cyclin B and related kinase-activating proteins
KOG0654	G2/Mitotic-specific cyclin A
KOG0655	G1/S-specific cyclin E
KOG0656	G1/S-specific cyclin D
KOG0657	Glyceraldehyde 3-phosphate dehydrogenase
KOG0658	Glycogen synthase kinase-3
KOG0659	Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK, kinase subunit CDK7
KOG0660	Mitogen-activated protein kinase
KOG0661	MAPK related serine/threonine protein kinase
KOG0662	Cyclin-dependent kinase CDK5
KOG0663	Protein kinase PITSLRE and related kinases
KOG0664	Nemo-like MAPK-related serine/threonine protein kinase
KOG0665	Jun-N-terminal kinase (JNK)
KOG0666	Cyclin C-dependent kinase CDK8
KOG0667	Dual-specificity tyrosine-phosphorylation regulated kinase
KOG0668	Casein kinase II, alpha subunit
KOG0669	Cyclin T-dependent kinase CDK9
KOG0670	U4/U6-associated splicing factor PRP4
KOG0671	LAMMER dual specificity kinases
KOG0672	Halotolerance protein HAL3 (contains flavoprotein domain)
KOG0673	Thymidylate synthase
KOG0674	Calreticulin
KOG0675	Calnexin
KOG0676	Actin and related proteins
KOG0677	Actin-related protein Arp2/3 complex, subunit Arp2
KOG0678	Actin-related protein Arp2/3 complex, subunit Arp3
KOG0679	Actin-related protein - Arp4p/Act3p
KOG0680	Actin-related protein - Arp6p
KOG0681	Actin-related protein - Arp5p
KOG0682	Ammonia permease
KOG0683	Glutamine synthetase
KOG0684	Cytochrome P450
KOG0685	Flavin-containing amine oxidase
KOG0686	COP9 signalosome, subunit CSN1
KOG0687	26S proteasome regulatory complex, subunit RPN7/PSMD6
KOG0688	Peptide chain release factor 1 (eRF1)
KOG0689	Guanine nucleotide exchange factor for Rho and Rac GTPases
KOG0690	Serine/threonine protein kinase
KOG0691	Molecular chaperone (DnaJ superfamily)
KOG0692	Pentafunctional AROM protein
KOG0693	Myo-inositol-1-phosphate synthase
KOG0694	Serine/threonine protein kinase
KOG0695	Serine/threonine protein kinase
KOG0696	Serine/threonine protein kinase
KOG0697	Protein phosphatase 1B (formerly 2C)
KOG0698	Serine/threonine protein phosphatase
KOG0699	Serine/threonine protein phosphatase
KOG0700	Protein phosphatase 2C/pyruvate dehydrogenase (lipoamide) phosphatase
KOG0701	dsRNA-specific nuclease Dicer and related ribonucleases
KOG0702	Predicted GTPase-activating protein
KOG0703	Predicted GTPase-activating protein
KOG0704	ADP-ribosylation factor GTPase activator
KOG0705	GTPase-activating protein Centaurin gamma (contains Ras-like GTPase, PH and ankyrin repeat domains)
KOG0706	Predicted GTPase-activating protein
KOG0707	Guanylate kinase
KOG0708	Membrane-associated guanylate kinase MAGUK (contains PDZ, SH3, HOOK and GUK domains)
KOG0709	CREB/ATF family transcription factor
KOG0710	Molecular chaperone (small heat-shock protein Hsp26/Hsp42)
KOG0711	Polyprenyl synthetase
KOG0712	Molecular chaperone (DnaJ superfamily)
KOG0713	Molecular chaperone (DnaJ superfamily)
KOG0714	Molecular chaperone (DnaJ superfamily)
KOG0715	Molecular chaperone (DnaJ superfamily)
KOG0716	Molecular chaperone (DnaJ superfamily)
KOG0717	Molecular chaperone (DnaJ superfamily)
KOG0718	Molecular chaperone (DnaJ superfamily)
KOG0719	Molecular chaperone (DnaJ superfamily)
KOG0720	Molecular chaperone (DnaJ superfamily)
KOG0721	Molecular chaperone (DnaJ superfamily)
KOG0722	Molecular chaperone (DnaJ superfamily)
KOG0723	Molecular chaperone (DnaJ superfamily)
KOG0724	Zuotin and related molecular chaperones (DnaJ superfamily), contains DNA-binding domains
KOG0725	Reductases with broad range of substrate specificities
KOG0726	26S proteasome regulatory complex, ATPase RPT2
KOG0727	26S proteasome regulatory complex, ATPase RPT3
KOG0728	26S proteasome regulatory complex, ATPase RPT6
KOG0729	26S proteasome regulatory complex, ATPase RPT1
KOG0730	AAA+-type ATPase
KOG0731	AAA+-type ATPase containing the peptidase M41 domain
KOG0732	AAA+-type ATPase containing the bromodomain
KOG0733	Nuclear AAA ATPase (VCP subfamily)
KOG0734	AAA+-type ATPase containing the peptidase M41 domain
KOG0735	AAA+-type ATPase
KOG0736	Peroxisome assembly factor 2 containing the AAA+-type ATPase domain
KOG0737	AAA+-type ATPase
KOG0738	AAA+-type ATPase
KOG0739	AAA+-type ATPase
KOG0740	AAA+-type ATPase
KOG0741	AAA+-type ATPase
KOG0742	AAA+-type ATPase
KOG0743	AAA+-type ATPase
KOG0744	AAA+-type ATPase
KOG0745	Putative ATP-dependent Clp-type protease (AAA+ ATPase superfamily)
KOG0746	60S ribosomal protein L3 and related proteins
KOG0747	Putative NAD+-dependent epimerases
KOG0748	Predicted membrane proteins, contain hemolysin III domain
KOG0749	Mitochondrial ADP/ATP carrier proteins
KOG0750	Mitochondrial solute carrier protein
KOG0751	Mitochondrial aspartate/glutamate carrier protein Aralar/Citrin (contains EF-hand Ca2+-binding domains)
KOG0752	Mitochondrial solute carrier protein
KOG0753	Mitochondrial fatty acid anion carrier protein/Uncoupling protein
KOG0754	Mitochondrial oxodicarboxylate carrier protein
KOG0755	Mitochondrial oxaloacetate carrier protein
KOG0756	Mitochondrial tricarboxylate/dicarboxylate carrier proteins
KOG0757	Mitochondrial carrier protein - Rim2p/Mrs12p
KOG0758	Mitochondrial carnitine-acylcarnitine carrier protein
KOG0759	Mitochondrial oxoglutarate/malate carrier proteins
KOG0760	Mitochondrial carrier protein MRS3/4
KOG0761	Mitochondrial carrier protein CGI-69
KOG0762	Mitochondrial carrier protein
KOG0763	Mitochondrial ornithine transporter
KOG0764	Mitochondrial FAD carrier protein
KOG0765	Predicted mitochondrial carrier protein
KOG0766	Predicted mitochondrial carrier protein
KOG0767	Mitochondrial phosphate carrier protein
KOG0768	Mitochondrial carrier protein PET8
KOG0769	Predicted mitochondrial carrier protein
KOG0770	Predicted mitochondrial carrier protein
KOG0771	Prolactin regulatory element-binding protein/Protein transport protein SEC12p
KOG0772	Uncharacterized conserved protein, contains WD40 repeat
KOG0773	Transcription factor MEIS1 and related HOX domain proteins
KOG0774	Transcription factor PBX and related HOX domain proteins
KOG0775	Transcription factor SIX and related HOX domain proteins
KOG0776	Geranylgeranyl pyrophosphate synthase/Polyprenyl synthetase
KOG0777	Geranylgeranyl pyrophosphate synthase/Polyprenyl synthetase
KOG0778	Protease, Ulp1 family
KOG0779	Protease, Ulp1 family
KOG0780	Signal recognition particle, subunit Srp54
KOG0781	Signal recognition particle receptor, alpha subunit
KOG0782	Predicted diacylglycerol kinase
KOG0783	Uncharacterized conserved protein, contains ankyrin and BTB/POZ domains
KOG0784	Isocitrate dehydrogenase, gamma subunit
KOG0785	Isocitrate dehydrogenase, alpha subunit
KOG0786	3-isopropylmalate dehydrogenase
KOG0787	Dehydrogenase kinase
KOG0788	S-adenosylmethionine decarboxylase
KOG0789	Protein tyrosine phosphatase
KOG0790	Protein tyrosine phosphatase Corkscrew and related SH2 domain enzymes
KOG0791	Protein tyrosine phosphatase, contains fn3 domain
KOG0792	Protein tyrosine phosphatase PTPMEG, contains FERM domain
KOG0793	Protein tyrosine phosphatase
KOG0794	CDK8 kinase-activating protein cyclin C
KOG0795	Chorismate mutase
KOG0796	Spliceosome subunit
KOG0797	Actin-related protein
KOG0798	Uncharacterized conserved protein
KOG0799	Branching enzyme
KOG0800	FOG: Predicted E3 ubiquitin ligase
KOG0801	Predicted E3 ubiquitin ligase
KOG0802	E3 ubiquitin ligase
KOG0803	Predicted E3 ubiquitin ligase
KOG0804	Cytoplasmic Zn-finger protein BRAP2 (BRCA1 associated protein)
KOG0805	Carbon-nitrogen hydrolase
KOG0806	Carbon-nitrogen hydrolase
KOG0807	Carbon-nitrogen hydrolase
KOG0808	Carbon-nitrogen hydrolase
KOG0809	SNARE protein TLG2/Syntaxin 16
KOG0810	SNARE protein Syntaxin 1 and related proteins
KOG0811	SNARE protein PEP12/VAM3/Syntaxin 7/Syntaxin 17
KOG0812	SNARE protein SED5/Syntaxin 5
KOG0813	Glyoxylase
KOG0814	Glyoxylase
KOG0815	60S acidic ribosomal protein P0
KOG0816	Protein involved in mRNA turnover
KOG0817	Acyl-CoA-binding protein
KOG0818	GTPase-activating proteins of the GIT family
KOG0819	Annexin
KOG0820	Ribosomal RNA adenine dimethylase
KOG0821	Predicted ribosomal RNA adenine dimethylase
KOG0822	Protein kinase inhibitor
KOG0823	Predicted E3 ubiquitin ligase
KOG0824	Predicted E3 ubiquitin ligase
KOG0825	PHD Zn-finger protein
KOG0826	Predicted E3 ubiquitin ligase involved in peroxisome organization
KOG0827	Predicted E3 ubiquitin ligase
KOG0828	Predicted E3 ubiquitin ligase
KOG0829	60S ribosomal protein L18A
KOG0830	40S ribosomal protein SA (P40)/Laminin receptor 1
KOG0831	Acyl-CoA:diacylglycerol acyltransferase (DGAT)
KOG0832	Mitochondrial/chloroplast ribosomal protein S2
KOG0833	Cytidine deaminase
KOG0834	CDK9 kinase-activating protein cyclin T
KOG0835	Cyclin L
KOG0836	F-actin capping protein, alpha subunit
KOG0837	Transcriptional activator of the JUN family
KOG0838	RNA Methylase, SpoU family
KOG0839	RNA Methylase, SpoU family
KOG0840	ATP-dependent Clp protease, proteolytic subunit
KOG0841	Multifunctional chaperone (14-3-3 family)
KOG0842	Transcription factor tinman/NKX2-3, contains HOX domain
KOG0843	Transcription factor EMX1 and related HOX domain proteins
KOG0844	Transcription factor EVX1, contains HOX domain
KOG0845	Nuclear pore complex, Nup98 component (sc Nup145/Nup100/Nup116)
